dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize50	numTSSEnhGene	distanceToTSS	normalizedDNase_enh	normalizedDNase_prom	numNearbyEnhancers	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContactAvgHicTrack2	3DContactAvgHicTrack2_squared	activityEnhDNaseOnlyAvgHicTrack2_squared	activityPromDNaseOnlyAvgHicTrack2	ABCScoreDNaseOnlyAvgHicTrack2
FlowFISH_K562	chr1	3774714	3775214	CEP104|chr1:3691278-3691778:*	-0.293431866	chr1	3857213	3857214	CEP104	TRUE	0.004023984	0.825093632	TRUE	K562	Ulirsch2016	TRUE					3	82055.5	39.968828	0.938883	1	6.638288	1	0	0.002134	4.553956e-06	1597.50721169358	0.938883	0.028925
FlowFISH_K562	chr1	3774714	3775214	LRRC47|chr1:3691278-3691778:*	-0.331178093	chr1	3796503	3796504	LRRC47	TRUE	0.007771168	0.608994236	TRUE	K562	Ulirsch2016	TRUE					1	21326.5	39.968828	0.822184	1	6.638288	1	0	0.010105	0.000102111025	1597.50721169358	0.822184	0.117806
FlowFISH_K562	chr1	3774714	3775214	SMIM1|chr1:3691278-3691778:*	-0.472019217	chr1	3772761	3772762	SMIM1	TRUE	0.000641649	0.639332272	TRUE	K562	Ulirsch2016	TRUE					1	2391.5	39.968828	0.808247	1	6.638288	0	0	0.048065	0.002310244225	1597.50721169358	0.808247	0.371951
FlowFISH_K562	chr10	125816658	125816735	UROS|chr10:127505227-127505304:*	-0.85	chr10	125823284	125823285	UROS	TRUE		0.234322062	TRUE	K562	Wakabayashi2016	TRUE					1	6920.5	11.097759	0.67548	1	1.928554	1	0	0.046451	0.002157695401	123.160254822081	0.67548	0.367912
FlowFISH_K562	chr11	3261795	3262295	HBE1|chr11:3283025-3283525:*	0.02924165	chr11	5505651	5505652	HBE1	FALSE	0.944568866097	1	TRUE	K562	Klann2017	FALSE					0	2243606.5	0	0	0	0	0	0	0	0	0	0	0
FlowFISH_K562	chr11	3262515	3263015	HBE1|chr11:3283745-3284245:*	0.02429562	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999999997901	TRUE	K562	Klann2017	FALSE					0	2242886.5	0	0	0	0	0	0	0	0	0	0	0
FlowFISH_K562	chr11	3307615	3308115	HBE1|chr11:3328845-3329345:*	0.01896726	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	1	TRUE	K562	Klann2017	FALSE					53	1962353	2.747443	0.614506	0	0	0	124	0	0	7.548443038249	0.614506	0
FlowFISH_K562	chr11	3324555	3325055	HBE1|chr11:3345785-3346285:*	0.03351329	chr11	5505651	5505652	HBE1	FALSE	0.967834268322	1	TRUE	K562	Klann2017	FALSE					0	2180846.5	0	0	0	0	0	0	0	0	0	0	0
FlowFISH_K562	chr11	3339935	3340435	HBE1|chr11:3361165-3361665:*	0.03315553	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999879797	TRUE	K562	Klann2017	FALSE					53	1930671	7.631476	0.614506	1	3.190607	0	123	7e-05	4.9e-09	58.239425938576	0.614506	0.000168
FlowFISH_K562	chr11	3341195	3341715	HBE1|chr11:3362425-3362945:*	0.0496205	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999897849564	TRUE	K562	Klann2017	FALSE					53	1928645	3.190607	0.614506	2	14.43193	0	122	4.7e-05	2.209e-09	10.179973028449	0.614506	4.7e-05
